date,time,split,day,exercise,setNumber,weight,reps,rir,notes
2026-04-02,17:54,PPLs,Push B,High to Low Cable Fly,1,43,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,High to Low Cable Fly,2,40,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,High to Low Cable Fly,3,33,15,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Duel Cable Extension,1,23,12,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Duel Cable Extension,2,23,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Triceps Pushdowns,1,27,17,3,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Triceps Pushdowns,2,30,12,1,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Triceps Pushdowns,3,30,9,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-06,18:54,PPLs,Push A,Incline Dumbbell Press,1,85,8,1,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Incline Dumbbell Press,2,85,6,0,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Incline Dumbbell Press,3,80,8,0,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Incline Dumbbell Press,4,80,6,0,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Flat Machine Chest Press,1,192,8,2,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Flat Machine Chest Press,2,195,8,0,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=15] Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Flat Machine Chest Press,3,192,6,0,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Overhead Cable Triceps Extension,1,27,12,1,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Overhead Cable Triceps Extension,2,27,10,0,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Overhead Cable Triceps Extension,3,27,10,0,Did tricep extensions before flat press.
2026-04-07,18:56,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,8,0,
2026-04-07,18:56,PPLs,Pull A,Neutral Grip Pull-Ups,2,0,6,0,
2026-04-07,18:56,PPLs,Pull A,Neutral Grip Pull-Ups,3,0,4,0,
2026-04-07,18:56,PPLs,Pull A,Seated Cable Row,1,143,12,2,
2026-04-07,18:56,PPLs,Pull A,Seated Cable Row,2,143,12,0,
2026-04-07,18:56,PPLs,Pull A,Seated Cable Row,3,143,8,0,
2026-04-07,18:56,PPLs,Pull A,Seated Cable Row,4,131,8,0,
2026-04-07,18:56,PPLs,Pull A,Single Arm Rear Delt Cable Fly,1,17,20,5,
2026-04-07,18:56,PPLs,Pull A,Single Arm Rear Delt Cable Fly,2,20,20,2,
2026-04-07,18:56,PPLs,Pull A,Single Arm Rear Delt Cable Fly,3,20,15,0,
2026-04-07,18:56,PPLs,Pull A,Incline Dumbbell Curl,1,30,10,0,
2026-04-07,18:56,PPLs,Pull A,Incline Dumbbell Curl,2,30,7,0,
2026-04-07,18:56,PPLs,Pull A,Incline Dumbbell Curl,3,25,8,0,
