date,time,split,day,notes
2026-03-23,17:01,PPLs,Push A,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,[plate_meta p45=1;p35=0;p25=1;p10=0;sled=0] Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-24,17:35,PPLs,Pull A,
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=12] Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=12] Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,[plate_meta p45=1;p35=1;p25=1;p10=0;sled=12] Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Started workout testing 1 rep max. I got 235lbs
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did dips last.
2026-03-30,18:35,PPLs,Push A,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did dips last.
2026-03-30,18:35,PPLs,Push A,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-30,18:35,PPLs,Push A,Did dips last.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Did preacher after hammer curls and it was the preacher machine.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,[plate_meta p45=1;p35=1;p25=0;p10=1;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,[plate_meta p45=1;p35=1;p25=0;p10=1;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=15] Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-06,18:54,PPLs,Push A,Did tricep extensions before flat press.
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
2026-04-07,18:56,PPLs,Pull A,
